"taxon_id","taxon_rank","taxon_name","authority_system","authority_taxon_id"
"1","Species","Melanerpes formicivorus","ITIS","178189"
"2","Species","Spinus tristis","ITIS","179249"
"3","Species","Accipiter gentilis","ITIS","175300"
"4","Species","Corvus brachyrhynchos","ITIS","179731"
"5","Species","Cinclus mexicanus","ITIS","178536"
"6","Species","Turdus migratorius","ITIS","179759"
"7","Species","Strix varia","ITIS","177921"
"8","Species","Haliaeetus leucocephalus","ITIS","175420"
"9","Species","Poecile atricapillus","ITIS","554382"
"10","Species","Megaceryle alcyon","ITIS","178106"
"11","Species","Thryomanes bewickii","ITIS","178562"
"12","Species","Pheucticus melanocephalus","ITIS","179140"
"13","Species","Certhia americana","ITIS","178803"
"14","Species","Patagioenas fasciata","ITIS","676899"
"15","Species","Setophaga nigrescens","ITIS","950057"
"16","Species","Perisoreus canadensis","ITIS","179667"
"17","Species","Branta canadensis","ITIS","174999"
"18","Species","Vireo cassinii","ITIS","554456"
"19","Species","Poecile rufescens","ITIS","554387"
"20",NA,"Neotamias townsendii","ITIS",NA
"21","Species","Spizella passerina","ITIS","179435"
"22","Species","Accipiter cooperii","ITIS","175309"
"23","Species","Mergus merganser","ITIS","175185"
"24","Species","Chordeiles minor","ITIS","177979"
"25","Species","Corvus corax","ITIS","179725"
"26","Species","Junco hyemalis","ITIS","179410"
"27","Species","Tamiasciurus douglasii","ITIS","180167"
"28","Species","Picoides pubescens","ITIS","178259"
"29","Species","Coccothraustes vespertinus","ITIS","179173"
"30","Species","Regulus satrapa","ITIS","179865"
"31","Species","Zonotrichia atricapilla","ITIS","179461"
"32","Species","Empidonax hammondii","ITIS","554254"
"33","Species","Picoides villosus","ITIS","178262"
"34","Species","Catharus guttatus","ITIS","179779"
"35","Species","Setophaga occidentalis","ITIS","950059"
"36","Species","Vireo huttoni","ITIS","178997"
"37","Species","Passerina amoena","ITIS","179151"
"38","Species","Melospiza lincolnii","ITIS","179484"
"39","Species","Anas platyrhynchos","ITIS","175063"
"40","Species","Geothlypis tolmiei","ITIS","950023"
"41","Species","Poecile gambeli","ITIS","554385"
"42","Species","Oreortyx pictus","ITIS","175893"
"43","Species","Leiothlypis ruficapilla","ITIS","950018"
"44","Species","Colaptes auratus","ITIS","178154"
"45","Species","Glaucidium gnoma","ITIS","177902"
"46","Species","Strix occidentalis","ITIS","177925"
"47","Species","Aegolius acadicus","ITIS","177942"
"48","Species","Vermivora celata","ITIS","178856"
"49","Species","Contopus cooperi","ITIS","554221"
"50","Species","Pandion haliaetus","ITIS","175590"
"51","Species","Troglodytes pacificus","ITIS","916804"
"52","Species","Ochotona princeps","ITIS","180109"
"53","Species","Carduelis pinus","ITIS","179233"
"54",NA,"Hylatomus pileatus",NA,NA
"55",NA,NA,NA,NA
"56","Species","Haemorhous purpureus","ITIS","997803"
"57","Species","Sitta canadensis","ITIS","178784"
"58","Species","Sphyrapicus ruber","ITIS","178212"
"59","Species","Regulus calendula","ITIS","179870"
"60","Species","Loxia curvirostra","ITIS","179259"
"61","Species","Buteo jamaicensis","ITIS","175350"
"62","Species","Bonasa umbellus","ITIS","175790"
"63","Species","Selasphorus rufus","ITIS","178040"
"64","Species","Dendragapus fuliginosus","ITIS","1193685"
"65","Species","Melospiza melodia","ITIS","179492"
"66","Species","Pipilo maculatus","ITIS","554380"
"67","Species","Accipiter striatus","ITIS","175304"
"68","Species","Cyanocitta stelleri","ITIS","179685"
"69","Species","Catharus ustulatus","ITIS","179788"
"70","Species","Myadestes townsendi","ITIS","179824"
"71","Species","Setophaga townsendi","ITIS","950058"
"72","Species","Cathartes aura","ITIS","175265"
"73",NA,"unknown chickadee",NA,NA
"74",NA,"unknown corvid",NA,NA
"75",NA,"Loxia unknown species","ITIS",NA
"76",NA,"unknown duck",NA,NA
"77",NA,"unknown Finch",NA,NA
"78",NA,"unknown Flycatcher",NA,NA
"79",NA,"unknown Grouse",NA,NA
"80",NA,"unknown hummingbird",NA,NA
"81",NA,"unknown Jay",NA,NA
"82",NA,"unknown kinglet",NA,NA
"83",NA,"unknown bird species",NA,NA
"84",NA,"unknown mammal species",NA,NA
"85",NA,"unknown owl",NA,NA
"86",NA,"unknown raptor",NA,NA
"87",NA,"unknown swallow",NA,NA
"88",NA,"unknown Thrush",NA,NA
"89",NA,"unknown Vireo",NA,NA
"90",NA,"unknown Warbler",NA,NA
"91",NA,"unknown Woodpecker",NA,NA
"92",NA,"unknown Wren",NA,NA
"93","Species","Chaetura vauxi","ITIS","178002"
"94","Species","Ixoreus naevius","ITIS","179773"
"95","Species","Vireo gilvus","ITIS","179023"
"96","Species","Piranga ludoviciana","ITIS","179882"
"97","Species","Contopus sordidulus","ITIS","178360"
"98","Species","Cardellina pusilla","ITIS","950080"
"99","Species","Setophaga petechia","ITIS","950039"
"100","Species","Setophaga coronata","ITIS","950046"
